sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
208350	P2F	P2F_1.fq.gz	3f46181ca9f18d7e929e287f4b9bc16561374d661d4d07fc948050bac08237d9	P2F_2.fq.gz	54315f21bfe30113d55017b70795254ab4c668bd2d8104f8b9207eb6faf658ea	1068	20241029T082842_grilljo1	354130	255026	5935	253924	5877	205	12	897	46	233628	121	21648	6670	2439	236	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-9.35000000	152.03333300	20171106	0-13
208345	P17E	P17E_1.fq.gz	c23a178ae6aafe141aad166fc6e24a35b17a757d64e3bae0aadb4e45da4ecf02	P17E_2.fq.gz	0036c910c76a93438394dc6d3828cc2770d7010e431d074f0c4110449705d84a	1068	20241029T082842_grilljo1	369377	257300	6368	256744	6326	117	4	439	38	236138	104	20686	3434	3387	532	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-9.35000000	152.03333300	20171106	0-13
208316	D1B	D1B_1.fq.gz	67ac456ed00cba0503ad766966a53aaf948bf49d690577888c429178996354a8	D1B_2.fq.gz	974e38e6458716cecbf40bd07ab10515c22d1b2a46035845f8cd70cac20b98b1	1068	20241029T082842_grilljo1	240538	165814	4287	164667	4243	48	4	1099	40	153561	102	14089	2955	2148	35	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	diploastreidae	diploastrea	heliopora	7.78333300	134.58333300	20180106	0-16
208309	P5B	P5B_1.fq.gz	ad82f9ccd5d92a442c487a3b296d074b3d6c37bf5b3e7ab17d1b31e9cd046526	P5B_2.fq.gz	6eb49a00d0f88921b142621bd7d154d880295098d7ceccf0b129e0124d2caeee	1068	20241029T082842_grilljo1	384368	271558	6681	268464	6571	0	0	3094	110	239901	97	16493	3400	2810	514	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	7.78333300	134.58333300	20180106	0-16
208312	P17B	P17B_1.fq.gz	c2ffa3d20b9cbb702876f09cd3ee9d582853364a998e2ba8e1260dfa9f9a639e	P17B_2.fq.gz	f36576dc5d56b9f95b9a07571970c40fc617bcafc192bca7e5cca4e6478bed3b	1068	20241029T082842_grilljo1	368990	259492	6423	256645	6316	57	3	2790	104	226901	77	14736	2828	4023	7	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	7.78333300	134.58333300	20180106	0-16
208326	P0D	P0D_1.fq.gz	6b3a41099255f8e71abcb7347e2b38550a1462314164dfcdfdd3e5946c22f7e4	P0D_2.fq.gz	c2f184f7b3aa27d70b6ae6f6e0860a433857137f79fd1210a0f8f3061d9f09af	1068	20241029T082842_grilljo1	378051	253297	6487	249205	6305	2989	137	1103	45	219491	93	2722	4231	3045	598	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-9.35000000	152.03333300	20171106	0-13
208333	P16D	P16D_1.fq.gz	ff3da43798d79562f5118ad6916dae5c434133b3d4ece675a3712ea41661cc8a	P16D_2.fq.gz	a7ff4f90baee5475b2b882c09d52e69752b48a26e93c71b6b75cd7c918478191	1068	20241029T082842_grilljo1	416613	292482	6744	290125	6637	903	43	1454	64	264138	85	18210	2960	3059	406	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-9.35000000	152.03333300	20171106	0-13
208361	D2E	D2E_1.fq.gz	7d2077302f0fe465ff920b89ed59d4998798b85161a2d4ff2950c6df06c628dd	D2E_2.fq.gz	a97de3e8319f4ecb424fabb6fd51811f98a829b5854ca8ca7ff67dea0fc7d4a2	1068	20241029T082842_grilljo1	429035	300429	7340	298152	7245	449	22	1828	73	276838	109	21018	6613	5003	137	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	diploastreidae	diploastrea	heliopora	-9.35000000	152.03333300	20171106	0-13
208352	P4F	P4F_1.fq.gz	39cd4475b12876360ade9135af242dee8b833debf2cccb8957f6cd0b9ae26d4d	P4F_2.fq.gz	f2987a71a44de200dc464702d89bffa880ae83b48bdf209c82f82c088cdcc329	1068	20241029T082842_grilljo1	326528	237110	5628	235573	5581	8	2	1529	45	215237	88	7034	4475	3333	733	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	poritidae	porites	lobata	-9.35000000	152.03333300	20171106	0-13
208322	D20B	D20B_1.fq.gz	dd8105300f083c3a286503c49b2c98adba4cb6b1552d88cdd2aaa3d228f5fd8d	D20B_2.fq.gz	e7eea5e7170526cedde8830d84bcc78fb20b9c86a54965220ef0ad3655457e68	1068	20241029T082842_grilljo1	358767	246216	6416	244111	6293	1002	58	1103	65	225989	107	18515	3244	3720	433	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	diploastreidae	diploastrea	heliopora	7.78333300	134.58333300	20180106	0-16
208368	D22E	D22E_1.fq.gz	ff9f3ff701d9700b18736c5d6a130444661b0ad81d7bab149cb85c1d54bc3eab	D22E_2.fq.gz	40261a3734d95eb3562f587f49f9b143eec2c67ed5165d85701e84434e281089	1068	20241029T082842_grilljo1	439175	306509	7459	305276	7388	153	7	1080	64	277106	96	28590	4449	3719	496	0	0	0	0	0	other	cnidaria	anthozoa	scleractinia	diploastreidae	diploastrea	heliopora	-9.35000000	152.03333300	20171106	0-13
